Front,Back
Solve using elimination: 3x + 2y = 12 ; -3x + y = 3,"(2/3, 5)"
Solve using elimination: 2x - y = 7 ; 2x + 3y = 3,"(3, -1)"
Solve using elimination: x + y = 8 ; -x + y = 2,"(3, 5)"
Solve using elimination: 2x + 3y = 12 ; 5x - 3y = 9,"(3, 2)"
Solve using elimination: 4x + 6y = 18 ; 2x - 5y = -1,"(21/8, 5/4)"
Solve using elimination: 3x + 4y = 11 ; 2x - 3y = -4,"(1, 2)"
Solve using elimination: 5x + 2y = 1 ; 3x - 4y = 19,"(-77/14, 83/14)"
Solve using elimination: 2x + 5y = 14 ; 3x + 2y = 7,"(4, 2)"
Solve using elimination: 7x - 3y = 13 ; 5x + 4y = 1,"(55/43, -26/43)"
Solve using elimination: 4x + 7y = 29 ; 6x - 5y = -1,"(66/29, 50/29)"
